time_s,pos_x_m,pos_z_m,heading_deg,chassis_speed_mps,chassis_accel_mps2,camera_top_speed_mps,camera_top_accel_mps2,camera_top_jerk_mps3,angular_speed_degps
1.06,1.95569,0.3,-90,0.444167,0.81677,0.444167,0.816772,0.00648509,5.29924E-05
1.08,1.94648,0.3,-90,0.460472,0.81525,0.460472,0.81525,0.0760705,5.6586E-05
1.1,1.93695,0.3,-90,0.476719,0.812374,0.476719,0.812373,0.143871,5.64587E-05
1.12,1.92709,0.3,-90,0.492883,0.808166,0.492883,0.808168,0.210256,5.80538E-05
1.14,1.91691,0.3,-90,0.508935,0.802607,0.508935,0.802605,0.27813,5.80359E-05
1.16,1.90641,0.3,-90,0.524849,0.795731,0.524849,0.795731,0.343696,5.87357E-05
1.18,1.8956,0.3,-90,0.5406,0.787545,0.5406,0.787545,0.409335,5.87354E-05
1.2,1.88448,0.3,-90,0.556162,0.778079,0.556162,0.778082,0.473112,5.90331E-05
1.22,1.87305,0.3,-90,0.571509,0.767345,0.571509,0.767342,0.537038,5.90267E-05
1.24,1.86131,0.3,-90,0.586617,0.755388,0.586617,0.755391,0.597537,5.91437E-05
1.26,1.84929,0.3,-90,0.601461,0.7422,0.601461,0.742197,0.659675,7.42915E-05
1.28,1.83696,0.3,-90,0.616018,0.727857,0.616017,0.727842,0.717789,7.48661E-05
1.3,1.82436,0.3,-90,0.630265,0.712386,0.630265,0.712398,0.772179,8.16832E-05
1.32,1.81148,0.3,-90,0.644182,0.695807,0.644182,0.695819,0.828952,8.21644E-05
1.34,1.79832,0.3,-90,0.657745,0.67817,0.657745,0.678161,0.882897,8.52281E-05
1.36,1.7849,0.3,-90,0.670936,0.659553,0.670936,0.659555,0.93028,8.55326E-05
1.38,1.77123,0.3,-90,0.683735,0.639934,0.683734,0.639922,0.981689,8.69007E-05
1.4,1.7573,0.3,-90,0.696124,0.619474,0.696124,0.619483,1.02192,8.70651E-05
1.42,1.74314,0.3,-90,0.708086,0.598085,0.708086,0.598088,1.06976,8.76654E-05
1.44,1.72875,0.3,-90,0.719605,0.575984,0.719605,0.575981,1.10537,8.77398E-05
1.46,1.71414,0.3,-90,0.730667,0.553096,0.730667,0.553096,1.14426,8.79917E-05
1.48,1.69931,0.3,-90,0.741259,0.52957,0.741259,0.52957,1.1763,8.80135E-05
1.5,1.68429,0.3,-90,0.751367,0.505436,0.751367,0.505436,1.2067,0.00010327
1.52,1.66907,0.3,-90,0.760983,0.480789,0.760983,0.480789,1.23233,0.000103802
1.54,1.65366,0.3,-90,0.770097,0.455693,0.770097,0.455696,1.25468,0.000110663
1.56,1.63809,0.3,-90,0.778702,0.430221,0.778702,0.430218,1.2739,0.000111123
1.58,1.62235,0.3,-90,0.786791,0.404456,0.786791,0.404456,1.28806,0.000114202
1.6,1.60647,0.3,-90,0.79436,0.378478,0.79436,0.378481,1.29879,0.000114494
1.62,1.59044,0.3,-90,0.801408,0.352377,0.801408,0.352374,1.30534,0.000115864
1.64,1.57428,0.3,-90,0.807933,0.326249,0.807933,0.326249,1.30624,0.00011602
1.66,1.558,0.3,-90,0.813936,0.300187,0.813937,0.30019,1.30296,0.000116618
1.68,1.54161,0.3,-90,0.819422,0.27428,0.819422,0.274277,1.29566,0.000116684
1.7,1.52512,0.3,-90,0.824395,0.248623,0.824394,0.248614,1.28314,0.000116931
1.72,1.50855,0.3,-90,0.828862,0.223363,0.828862,0.223369,1.26228,0.000116946
1.74,1.49189,0.3,-90,0.832832,0.198507,0.832832,0.198519,1.24246,0.000117034
1.76,1.47516,0.3,-90,0.836317,0.174275,0.836317,0.174269,1.21251,0.000117021
1.78,1.45838,0.3,-90,0.839331,0.150681,0.839331,0.150678,1.17958,0.000117037
1.8,1.44154,0.3,-90,0.84189,0.127944,0.84189,0.127936,1.13711,0.000117009
1.82,1.42466,0.3,-90,0.844011,0.10607,0.844011,0.106078,1.09285,0.000116992
1.84,1.40775,0.3,-90,0.845717,0.0852913,0.845717,0.0852943,1.03921,0.000116957
1.86,1.3908,0.3,-90,0.84703,0.0656247,0.84703,0.0656218,0.983627,0.000116927
1.88,1.37385,0.3,-90,0.847975,0.0472725,0.847975,0.0472695,0.917614,0.000116888
1.9,1.35687,0.3,-90,0.848582,0.0303358,0.848582,0.0303388,0.846536,0.000116852
1.92,1.3399,0.3,-90,0.848881,0.0149399,0.848881,0.0149399,0.769944,0.000116812
1.94,1.32292,0.3,-90,0.848906,0.00127852,0.848906,0.00127852,0.68307,0.000116774
1.96,1.30594,0.3,-90,0.848694,0.0106126,0.848694,0.0106126,0.594557,0.000116734
1.98,1.28898,0.3,-90,0.848284,0.0204712,0.848284,0.0204712,0.492931,0.000116695
2,1.27202,0.3,-90,0.847719,0.0282735,0.847719,0.0282735,0.390113,0.000116656
2.02,1.25508,0.3,-90,0.847044,0.0337571,0.847044,0.0337571,0.274182,0.000116618
2.04,1.23816,0.3,-90,0.846305,0.036937,0.846305,0.036934,0.158846,0.00011658
2.06,1.22125,0.3,-90,0.845501,0.0402242,0.845501,0.0402272,0.164659,0.000116542
2.08,1.20436,0.3,-90,0.844561,0.0469804,0.844561,0.0469804,0.337662,0.000116505
2.1,1.18749,0.3,-90,0.843397,0.0581891,0.843397,0.0581891,0.560433,0.000116468
2.12,1.17065,0.3,-90,0.841906,0.0745714,0.841906,0.0745714,0.819118,0.000116432
2.14,1.15385,0.3,-90,0.839985,0.0960559,0.839985,0.0960559,1.07423,0.000116396
2.16,1.1371,0.3,-90,0.837536,0.122434,0.837536,0.122434,1.3189,0.00011636
2.18,1.12041,0.3,-90,0.834472,0.153208,0.834472,0.153205,1.53855,0.000116325
2.2,1.1038,0.3,-90,0.830715,0.187829,0.830715,0.187832,1.73137,0.000116291
2.22,1.08727,0.3,-90,0.826202,0.225675,0.826202,0.225675,1.89215,0.000116257
2.24,1.07085,0.3,-90,0.82088,0.266114,0.82088,0.266114,2.02194,0.000116224
2.26,1.05456,0.3,-90,0.814709,0.308505,0.814709,0.308505,2.11954,0.000116191
2.28,1.03841,0.3,-90,0.807665,0.352219,0.807665,0.352219,2.18571,0.000116158
